Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in EUR,Gesamtpreis in EUR
4.1.16,"Einheit 6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.15 Isolierung von Kanalstutzen, rund, an Lüftungskanälen, eckig, Durchmesser des Anschlusskanals über 200 bis 400 mm 3,000 St Wärmedämmung ohne Ummantelung an Luftleitung, rund",D bis 400mm,
4.1.17,"Wärmedämmung Luftltg DN80 Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Wärmedämmung ohne Ummantelung DIN 4140 an haus- und betriebstechnischen Luftleitung, rund, Maße DIN EN 1506, DN 80, Mindestabstände DIN Gebäude, Dämmung aus Mineralwolle DIN EN 14303, als Lamellenmatte, 30 mm, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), bei 40 Grad C Mitteltemperatur DIN EN 12667, kaschiert mit Montageortes bis 3,5 m über der Standfläche des hierfür","Anlagen, 4140 sind nicht einlagig, Wärmeleitfähigkeit Alufolie, Arbeitshöhe erforderlichen Gerüstes.","an eingehalten, im Dämmschichtdicke 0,040 W/(mK) des"
4.1.18,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.17 Wärmedämmung Luftltg DN100 Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 DN 100,",,
4.1.19,"50,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.17 Wärmedämmung Luftltg DN200 Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952",,
4.1.20,"15,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.17 Wärmedämmung Luftltg DN250 Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 DN 250,",,
4.1.21,"15,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.17 Wärmedämmung Luftltg DN280 Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 DN 280,",,
4.1.22,"10,000 m Wärmedämmung ohne Ummantelung an Formteilen, rund Wärmedämmung ohne Ummantelung an Formteilen, rund *** Bezugsbeschreibung Wärmedämmung Formteil Luftltg DN100 Wärmedämmung an Formteil aus Mineralwolle, Wärmedämmung ohne Ummantelung DIN 4140 an betriebstechnischen Anlagen, an Luftleitung, rund, Maße DIN EN 1506, DN 100, im Bereichen mit Behinderung durch technische Einrichtungen und Bauteile, Dämmung aus Mineralwolle, einlagig, Dämmschichtdicke 30 mm, Brandverhaltensklasse DIN EN 13501-1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN",,"haus- und Gebäude, in A1 12667,"
4.1.23,"35,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.22 Wärmedämmung Formteil Luftltg DN200 DN 200",,
4.1.24,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.22 Wärmedämmung Formteil Luftltg DN250 DN 250",,
