Pos-Nr. Nr.),(Pos-,Menge Einheit Temperatur Luftaustritt: 21 °C,Einheitspreis in,Gesamtpreis in EUR
,,"Feuchte Luftaustritt: 39,2 % Befeuchtungsleistung: 180 kg/h Gesamtwasserbedarf: 200 kg/h Regelbarkeit: 10 bis 100 % Mediumtyp: VE-Wasser 5 bis 50 µS/cm Material Paneel innen: Edelstahl Bedientür Schauglas doppelschalig Beleuchtung 230 V/ IP 65 montiert und verdrahtet Pumpenstation Aerosolabscheider Hochdruckschläuche Meldeoptionen GLT Feuchte- und Temperaturfühler Tropfwanne V2A Siphon Messnippelset",EUR,
,,"Kühler Volumenstrom: 30.600 m³/h Kühlleistung: 115,36 kW Temperatur Lufteintritt: 28 °C Feuchte Lufteintritt: 56,3 % Temperatur Luftaustritt: 19 °C Feuchte Luftaustritt: 91 % Mediumtyp: Wasser Frostschutzanteil: 0 % Temperatur Vorlauf: 12 °C Temperatur Rücklauf: 18 °C Druckverlust Medium: max. 50 kPa Mediummenge: 4,6 l/s Material Rohr: Kupfer Material Lamellen: Aluminium Material Sammler: Kupfer Material Rahmen: Edelstahl Entleerung und Entlüftung Messnippelset Vorhaltung Tropfenabscheider Kondensatwanne Siphon Leerteil Baulänge: min. 612 mm Tür mit Hebel-/ Doppelhebelverschluss Kühler Volumenstrom: 30.600 m³/h Kühlleistung: 124,09 kW",,
