0,1
,"eckig, mit Schalldämmung eckig, mit Schalldämmung *** Bezugsbeschreibung"
1.10.12,"Volumenstromregler 200/200 Gehäuse Stahl verz schnelllaufender Volumenstromregler, mit Schalldämmung und Mantel aus verzinktem Stahl, mit Hilfsenergie für variable Volumenströme, eckig, für lageunabhängigen Einbau, mit Absperrfunktion, Gehäuse aus verzinktem Stahl, mit Flanschen, aus Stahl, Klappenwellen wartungsfrei gelagert, mit elektrischem Stellantrieb, min. Volumenstrom '210' m3/h, max. Volumenstrom '855' m3/h, Maße B/H in mm '200/200'"
,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12"
1.10.13,"Volumenstromregler 300/100 Gehäuse Stahl verz Min. Volumenstrom 160 m3/h, max. Volumenstrom 665 m3/h, Maße B/H in mm '300/100'"
1.10.14,"Volumenstromregler 300/200 Gehäuse Stahl verz Min. Volumenstrom 640 m3/h, max. Volumenstrom 1850 m3/h, Maße B/H in mm '300/200'"
1.10.15,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 300/300 Gehäuse Stahl verz Min. Volumenstrom 840 m3/h, max. Volumenstrom 1860 m3/h, Maße B/H in mm '300/300'"
1.10.16,"Volumenstromregler 400/200 Gehäuse Stahl verz Min. Volumenstrom 670 m3/h, max. Volumenstrom 2010 m3/h, Maße B/H in mm '400/200'"
