Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.11.18,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.14 Luftgitter Stahl verz B 825mm H 225mm STLB-Bau 2023-10 075 4639 Breite 825 mm, Höhe 225 mm. 4,000 St Lüftungsgitter für Zu- und Abluft, Einbau in runde Luftleitungen Lüftungsgitter für Zu- und Abluft, Einbau in runde Luftleitungen",,
1.11.19,"Luftgitter Stahl verz B 225mm H 75mm STLB-Bau 2023-10 075 4639 Luftgitter für Einbau in runde Luftleitungen, aus profilierten Blechen Frontrahmen profiliert, mit sichtbarer Schraubbefestigung, mit Dichtung, einzeln verstellbaren Lamellen, Breite 225 mm, Höhe 75 mm. 77,000 St Wiederholungsbeschreibung zu Bezugs-OZ 1.11.19 Stahl verz B 325mm H 75mm",aus mit,"verzinktem Stahl, senkrechten,"
1.11.20,"*** Luftgitter STLB-Bau 2023-10 075 4639 Breite 325 mm, 13,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.19",,
1.11.22,"28,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.19 Luftgitter Stahl verz B 525mm H 75mm STLB-Bau 2023-10 075 4639 Breite 525 mm,",,
1.11.23,"22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.19 Luftgitter Stahl verz B 625mm H 75mm STLB-Bau 2023-10 075 4639 Breite 625 mm, 7,000 St",,
1.11.24,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.19 Luftgitter Stahl verz B 825mm H 75mm STLB-Bau 2023-10 075 4639 Breite 825 mm,",,
1.11.25,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.19 Luftgitter Stahl verz B 1025mm H 75mm STLB-Bau 2023-10 075 4639 Breite 1025 mm,",,
